,knum,z_dim,Dsize,lr,train_loss,minimum_val_loss,number_of_model_parameters
0,"[512, 1024, 2048]",8,[],0.0001,0.005413747509010136,0.005547894164919853,47757321
1,"[512, 1024, 2048]",8,[],0.001,0.00544466357678175,0.005556722171604633,47757321
2,"[512, 1024, 2048]",16,[],0.0001,0.004380844242405146,0.004482347518205643,48281617
3,"[512, 1024, 2048]",16,[],0.001,0.004376352939289063,0.00448852451518178,48281617
4,"[512, 1024, 2048]",32,[],0.0001,0.0033899927511811256,0.0035210277419537306,49330209
5,"[512, 1024, 2048]",32,[],0.001,0.0034268390154466033,0.00353378732688725,49330209
6,"[512, 1024, 2048]",8,[16],0.0001,0.006671679380815476,0.006237684283405542,48281897
7,"[512, 1024, 2048]",8,[16],0.001,0.006683454033918679,0.0062817055732011795,48281897
8,"[512, 1024, 2048]",16,[16],0.0001,0.006589157914277166,0.0059621394611895084,48282161
9,"[512, 1024, 2048]",16,[16],0.001,0.006575527659151703,0.006031481083482504,48282161
10,"[512, 1024, 2048]",32,[16],0.0001,0.006570929661393166,0.005977976601570845,48282689
11,"[512, 1024, 2048]",32,[16],0.001,0.006779260642360896,0.006309102289378643,48282689
12,"[512, 1024, 2048]",8,[32],0.0001,0.006046597613021731,0.005862727295607328,49330761
13,"[512, 1024, 2048]",8,[32],0.001,0.010969662689603865,0.011328189633786678,49330761
14,"[512, 1024, 2048]",16,[32],0.0001,0.005710784171242267,0.00525857275351882,49331281
15,"[512, 1024, 2048]",16,[32],0.001,0.005765361187513918,0.005401611793786287,49331281
16,"[512, 1024, 2048]",32,[32],0.0001,0.0055345697910524905,0.005014715250581503,49332321
17,"[512, 1024, 2048]",32,[32],0.001,0.010875023202970624,0.01132915262132883,49332321
18,"[512, 1024, 2048]",8,[64],0.0001,0.0057617624988779426,0.0057136970572173595,51428489
19,"[512, 1024, 2048]",8,[64],0.001,0.005780420498922467,0.005726604722440243,51428489
20,"[512, 1024, 2048]",16,[64],0.0001,0.005051912798080593,0.004799775313585997,51429521
21,"[512, 1024, 2048]",16,[64],0.001,0.011010126443579793,0.011328794993460178,51429521
22,"[512, 1024, 2048]",32,[64],0.0001,0.004737460636533797,0.004323798697441816,51431585
23,"[512, 1024, 2048]",32,[64],0.001,0.004887400311417878,0.0044768755324184895,51431585
24,"[512, 1024, 2048]",8,[],0.0001,0.0054262770572677255,0.005547972396016121,47757321
25,"[512, 1024, 2048]",8,[],0.001,0.005425773444585502,0.005549364257603884,47757321
26,"[512, 1024, 2048]",16,[],0.0001,0.004357262165285647,0.004472312051802874,48281617
27,"[512, 1024, 2048]",16,[],0.001,0.004349054943304509,0.004484989680349827,48281617
28,"[512, 1024, 2048]",32,[],0.0001,0.003387325763469562,0.003520998638123274,49330209
29,"[512, 1024, 2048]",32,[],0.001,0.0034259998064953834,0.0035323472693562508,49330209
30,"[1024, 2048, 4096]",8,[],0.0001,0.006940957217011601,0.006223803851753473,189886473
31,"[1024, 2048, 4096]",8,[],0.001,0.005444782553240657,0.005565626546740532,189886473
32,"[1024, 2048, 4096]",16,[],0.0001,0.004379913094453514,0.004478320479393005,190935057
33,"[1024, 2048, 4096]",16,[],0.001,0.004384768253657967,0.004484965465962887,190935057
34,"[1024, 2048, 4096]",32,[],0.0001,0.003392744722077623,0.0035293574910610914,193032225
35,"[1024, 2048, 4096]",32,[],0.001,0.00338406627997756,0.003518421668559313,193032225
36,"[4, 16]",8,[],0.0001,0.005729359283577651,0.0056417351588606834,18665
37,"[4, 16]",8,[],0.001,0.005736138497013599,0.005643410142511129,18665
38,"[4, 16]",16,[],0.0001,0.004780766321346164,0.004603104665875435,35057
39,"[4, 16]",16,[],0.001,0.004774647182784975,0.004598416853696108,35057
40,"[4, 16]",32,[],0.0001,0.003937175264582038,0.0036995336413383484,67841
41,"[4, 16]",32,[],0.001,0.003932812833227217,0.0036949135828763247,67841
42,"[4, 16]",8,[16],0.0001,0.006841502094175667,0.006329609081149101,35337
43,"[4, 16]",8,[16],0.001,0.006844734773039818,0.0063234916888177395,35337
44,"[4, 16]",16,[16],0.0001,0.00680459215072915,0.006203098688274622,35601
45,"[4, 16]",16,[16],0.001,0.006848573160823435,0.0062086498364806175,35601
46,"[4, 16]",32,[16],0.0001,0.0068966447724960744,0.006252229679375887,36129
47,"[4, 16]",32,[16],0.001,0.006822696886956692,0.006208004429936409,36129
48,"[4, 16]",8,[32],0.0001,0.006380274309776723,0.005919566377997398,68393
49,"[4, 16]",8,[32],0.001,0.006332903227303177,0.005904905032366514,68393
50,"[4, 16]",16,[32],0.0001,0.006010446697473526,0.005497189704328775,68913
51,"[4, 16]",16,[32],0.001,0.006010084063746035,0.005475134588778019,68913
52,"[4, 16]",32,[32],0.0001,0.006002317299135029,0.00540475407615304,69953
53,"[4, 16]",32,[32],0.001,0.006023897381965071,0.005495595280081034,69953
54,"[4, 16]",8,[64],0.0001,0.006022948364261538,0.00574781559407711,134505
55,"[4, 16]",8,[64],0.001,0.006046190857887268,0.005756079219281673,134505
56,"[4, 16]",16,[64],0.0001,0.005374167754780501,0.004880604799836874,135537
57,"[4, 16]",16,[64],0.001,0.005376265849918127,0.004870849661529064,135537
58,"[4, 16]",32,[64],0.0001,0.005249153007753193,0.00468929810449481,137601
59,"[4, 16]",32,[64],0.001,0.005280564771965146,0.004743658471852541,137601
60,"[4, 16]",8,"[64, 32]",0.0001,0.006679969548713416,0.00612625339999795,138153
61,"[4, 16]",8,"[64, 32]",0.001,0.006646172550972551,0.00610921299085021,138153
62,"[4, 16]",16,"[64, 32]",0.0001,0.006676863878965378,0.006122517865151167,138673
63,"[4, 16]",16,"[64, 32]",0.001,0.006657938938587904,0.0061154416762292385,138673
64,"[4, 16]",32,"[64, 32]",0.0001,0.006630546995438635,0.006120686884969473,139713
65,"[4, 16]",32,"[64, 32]",0.001,0.006635795813053846,0.006112614646553993,139713
66,"[4, 16]",8,"[32, 16]",0.0001,0.007863027160055935,0.007497144863009453,69193
67,"[4, 16]",8,"[32, 16]",0.001,0.00786023261025548,0.007486511487513781,69193
68,"[4, 16]",16,"[32, 16]",0.0001,0.007892917783465236,0.0074905590154230595,69457
69,"[4, 16]",16,"[32, 16]",0.001,0.007813709322363138,0.007464831694960594,69457
70,"[4, 16]",32,"[32, 16]",0.0001,0.007845222833566368,0.007491185795515776,69985
71,"[4, 16]",32,"[32, 16]",0.001,0.007833210751414299,0.007472424302250147,69985
72,"[32, 64]",8,[],0.0001,0.005448899231851101,0.005561205558478832,107209
73,"[32, 64]",8,[],0.001,0.0054692123667337,0.005560856778174639,107209
74,"[32, 64]",16,[],0.0001,0.004424638638738543,0.004490831401199102,172753
75,"[32, 64]",16,[],0.001,0.004418961820192635,0.004491700790822506,172753
76,"[32, 64]",32,[],0.0001,0.003462296328507364,0.003554456401616335,303841
77,"[32, 64]",32,[],0.001,0.0034694600326474756,0.0035537593066692352,303841
78,"[32, 64]",8,[16],0.0001,0.006647390313446522,0.0062648337334394455,173033
79,"[32, 64]",8,[16],0.001,0.006708210450597107,0.006264909170567989,173033
80,"[32, 64]",16,[16],0.0001,0.006625929847359657,0.006151191890239716,173297
81,"[32, 64]",16,[16],0.001,0.0065549784922041,0.00601885374635458,173297
82,"[32, 64]",32,[16],0.0001,0.006511222163680941,0.0060098255053162575,173825
83,"[32, 64]",32,[16],0.001,0.006506037316285074,0.0059870388358831406,173825
84,"[32, 64]",8,[32],0.0001,0.006073772965464741,0.005845167208462954,304393
85,"[32, 64]",8,[32],0.001,0.006066301022656262,0.005855164024978876,304393
86,"[32, 64]",16,[32],0.0001,0.005677488399669528,0.005261569283902645,304913
87,"[32, 64]",16,[32],0.001,0.005611998261883855,0.005182802677154541,304913
88,"[32, 64]",32,[32],0.0001,0.005561813421081752,0.005035168491303921,305953
89,"[32, 64]",32,[32],0.001,0.005528279056306928,0.0050154863856732845,305953
90,"[32, 64]",8,[64],0.0001,0.00578919897088781,0.005706295371055603,567113
91,"[32, 64]",8,[64],0.001,0.0057766675017774105,0.005707783158868551,567113
92,"[32, 64]",16,[64],0.0001,0.00505755195626989,0.004805014003068209,568145
93,"[32, 64]",16,[64],0.001,0.005052806402090937,0.004800294991582632,568145
94,"[32, 64]",32,[64],0.0001,0.004739785799756646,0.004361151717603207,570209
95,"[32, 64]",32,[64],0.001,0.004746702150441706,0.004380169324576855,570209
96,"[32, 64]",8,"[64, 32]",0.0001,0.006506972713395953,0.006062676198780537,570761
97,"[32, 64]",8,"[64, 32]",0.001,0.006440101366024464,0.006058975122869015,570761
98,"[32, 64]",16,"[64, 32]",0.0001,0.0063494539936073124,0.005897034425288439,571281
99,"[32, 64]",16,"[64, 32]",0.001,0.006340541527606547,0.005892823450267315,571281
100,"[32, 64]",32,"[64, 32]",0.0001,0.006325071677565575,0.005735883489251137,572321
101,"[32, 64]",32,"[64, 32]",0.001,0.0063427064451389015,0.0058969128876924515,572321
102,"[32, 64]",8,"[32, 16]",0.0001,0.007753822777885944,0.007442673202604055,305193
103,"[32, 64]",8,"[32, 16]",0.001,0.00736528605921194,0.006930424366146326,305193
104,"[32, 64]",16,"[32, 16]",0.0001,0.00706902053207159,0.006364150438457727,305457
105,"[32, 64]",16,"[32, 16]",0.001,0.007063287426717579,0.006362760439515114,305457
106,"[32, 64]",32,"[32, 16]",0.0001,0.00707829010207206,0.006370410323143005,305985
107,"[32, 64]",32,"[32, 16]",0.001,0.007068993698339909,0.006357820704579353,305985
108,"[64, 128]",8,[],0.0001,0.005426261457614601,0.005552909802645445,288137
109,"[64, 128]",8,[],0.001,0.005417020118329674,0.005555691197514534,288137
110,"[64, 128]",16,[],0.0001,0.004377419303636998,0.0044800532050430775,419217
111,"[64, 128]",16,[],0.001,0.004376725584734231,0.00448110094293952,419217
112,"[64, 128]",32,[],0.0001,0.0034071089467033744,0.003540544770658016,681377
113,"[64, 128]",32,[],0.001,0.0034049744135700166,0.003540187841281295,681377
114,"[64, 128]",8,[16],0.0001,0.006636316538788378,0.006238800473511219,419497
115,"[64, 128]",8,[16],0.001,0.006607158749829978,0.0061335028149187565,419497
116,"[64, 128]",16,[16],0.0001,0.006546345306560397,0.0061343759298324585,419761
117,"[64, 128]",16,[16],0.001,0.006604796973988414,0.00613173795863986,419761
118,"[64, 128]",32,[16],0.0001,0.006510117556899786,0.006006002891808748,420289
119,"[64, 128]",32,[16],0.001,0.006502027623355389,0.006002602633088827,420289
120,"[64, 128]",8,[32],0.0001,0.006045778573025018,0.0058548045344650745,681929
121,"[64, 128]",8,[32],0.001,0.006045193353202194,0.005848028231412172,681929
122,"[64, 128]",16,[32],0.0001,0.005647013837005943,0.005246397107839584,682449
123,"[64, 128]",16,[32],0.001,0.005625446094200015,0.005194127559661865,682449
124,"[64, 128]",32,[32],0.0001,0.005523560976143926,0.005029762163758278,683489
125,"[64, 128]",32,[32],0.001,0.005543508916161954,0.005050051026046276,683489
126,"[64, 128]",8,[64],0.0001,0.005746696086134762,0.005694362800568342,1206793
127,"[64, 128]",8,[64],0.001,0.005733791796956211,0.005702338647097349,1206793
128,"[64, 128]",16,[64],0.0001,0.005008305597584695,0.004787432961165905,1207825
129,"[64, 128]",16,[64],0.001,0.005023044999688864,0.004793204367160797,1207825
130,"[64, 128]",32,[64],0.0001,0.004674281983170658,0.004308233503252268,1209889
131,"[64, 128]",32,[64],0.001,0.0046831785584799945,0.004317294806241989,1209889
132,"[64, 128]",8,"[64, 32]",0.0001,0.0063980199047364295,0.006042250897735357,1210441
133,"[64, 128]",8,"[64, 32]",0.001,0.006415057985577732,0.006044651381671429,1210441
134,"[64, 128]",16,"[64, 32]",0.0001,0.006192161876242608,0.00564840342849493,1210961
135,"[64, 128]",16,"[64, 32]",0.001,0.006281166162807494,0.005727596115320921,1210961
136,"[64, 128]",32,"[64, 32]",0.0001,0.006295295374002308,0.00574518321081996,1212001
137,"[64, 128]",32,"[64, 32]",0.001,0.00623678439296782,0.005744417198002338,1212001
138,"[64, 128]",8,"[32, 16]",0.0001,0.007097902416717261,0.006373581010848284,682729
139,"[64, 128]",8,"[32, 16]",0.001,0.0070473991218023,0.0063573140650987625,682729
140,"[64, 128]",16,"[32, 16]",0.0001,0.0070531751262024045,0.006367467809468508,682993
141,"[64, 128]",16,"[32, 16]",0.001,0.007033785921521485,0.006341508124023676,682993
142,"[64, 128]",32,"[32, 16]",0.0001,0.007061459415126592,0.006355409976094961,683521
143,"[64, 128]",32,"[32, 16]",0.001,0.007048175495583564,0.006355784833431244,683521
144,"[128, 256]",8,[],0.0001,0.005416082916781306,0.005552561022341251,871177
145,"[128, 256]",8,[],0.001,0.005428653152193874,0.005551776383072138,871177
146,"[128, 256]",16,[],0.0001,0.00434837891953066,0.004475965164601803,1133329
147,"[128, 256]",16,[],0.001,0.004351311770733446,0.004477418027818203,1133329
148,"[128, 256]",32,[],0.0001,0.0033777804928831756,0.0035342846531420946,1657633
149,"[128, 256]",32,[],0.001,0.0033700405329000205,0.0035354529973119497,1657633
150,"[128, 256]",8,[16],0.0001,0.0066847288981080055,0.006132240407168865,1133609
151,"[128, 256]",8,[16],0.001,0.011014991556294262,0.011327543295919895,1133609
152,"[128, 256]",16,[16],0.0001,0.006522057519759983,0.005997393745929003,1133873
153,"[128, 256]",16,[16],0.001,0.01091919804457575,0.011328455060720444,1133873
154,"[128, 256]",32,[16],0.0001,0.006537556531839073,0.006003088317811489,1134401
155,"[128, 256]",32,[16],0.001,0.01096258347388357,0.011328072287142277,1134401
156,"[128, 256]",8,[32],0.0001,0.006096233264543116,0.00585361709818244,1658185
157,"[128, 256]",8,[32],0.001,0.006053067394532263,0.0058495039120316505,1658185
158,"[128, 256]",16,[32],0.0001,0.005609301500953734,0.005173157434910536,1658705
159,"[128, 256]",16,[32],0.001,0.00556035921908915,0.005144127178937197,1658705
160,"[128, 256]",32,[32],0.0001,0.005490852519869804,0.004948275163769722,1659745
161,"[128, 256]",32,[32],0.001,0.005475669167935848,0.00495019881054759,1659745
162,"[128, 256]",8,[64],0.0001,0.005762411514297128,0.005709541495889425,2707337
163,"[128, 256]",8,[64],0.001,0.0057542683207429945,0.005702233407646418,2707337
164,"[128, 256]",16,[64],0.0001,0.005071934428997338,0.004799239337444305,2708369
